********************************************************************************
product = Open Liberty 23.0.0.4 (wlp-1.0.76.cl230420230418-0035)
wlp.install.dir = /home/ayman/Desktop/jsf001/jsf001/target/liberty/wlp/
java.home = /usr/lib/jvm/java-11-openjdk-amd64
java.version = 11.0.18
java.runtime = OpenJDK Runtime Environment (11.0.18+10-post-Ubuntu-0ubuntu122.04)
os = Linux (5.19.0-41-generic; amd64) (en_US)
process = 13203@ayman-HP-EliteBook-840-G3
Classpath = /home/ayman/Desktop/jsf001/jsf001/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /u01/app/oracle/product/11.2.0/xe/lib:/u01/app/oracle/product/11.2.0/xe/lib::/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
********************************************************************************
[5/17/23, 23:05:52:945 WEST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server jsf001Server has been launched.
[5/17/23, 23:05:55:246 WEST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 3.291 seconds
[5/17/23, 23:05:55:422 WEST] 00000023 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[5/17/23, 23:05:57:237 WEST] 00000018 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[5/17/23, 23:05:59:970 WEST] 00000029 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application jsf001.
[5/17/23, 23:05:59:971 WEST] 00000029 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The jsf001 application is using the loose application definition at the /home/ayman/Desktop/jsf001/jsf001/target/liberty/wlp/usr/servers/jsf001Server/apps/jsf001.war.xml location.
[5/17/23, 23:06:00:944 WEST] 00000029 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[5/17/23, 23:06:00:992 WEST] 00000029 org.jboss.weld.Version                                       I WELD-000900: 4.0.3 (Final)
[5/17/23, 23:06:02:030 WEST] 00000029 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.cdi.JsfArtifactProducerExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[5/17/23, 23:06:02:044 WEST] 00000029 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[5/17/23, 23:06:02:538 WEST] 00000029 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: Hello Servlet.
[5/17/23, 23:06:02:541 WEST] 00000029 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module Hello Servlet has been bound to default_host.
[5/17/23, 23:06:02:542 WEST] 00000029 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9081/jsf001/
[5/17/23, 23:06:03:059 WEST] 00000025 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/jsf001
[5/17/23, 23:06:03:073 WEST] 00000025 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[5/17/23, 23:06:03:577 WEST] 00000025 org.apache.myfaces.ee.MyFacesContainerInitializer            I Using org.apache.myfaces.ee.MyFacesContainerInitializer
[5/17/23, 23:06:03:625 WEST] 00000025 org.apache.myfaces.ee.MyFacesContainerInitializer            I Added FacesServlet with mappings=[/faces/*, *.jsf, *.faces, *.xhtml]
[5/17/23, 23:06:03:627 WEST] 00000025 com.ibm.ws.jsf.ee.WASMyFacesContainerInitializer             I Added StartupServletContextListener to the servlet context
[5/17/23, 23:06:03:996 WEST] 00000029 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at /home/ayman/Desktop/jsf001/jsf001/target/liberty/wlp/usr/servers/jsf001Server/logs/state/plugin-cfg.xml.
[5/17/23, 23:06:04:097 WEST] 00000025 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[5/17/23, 23:06:04:534 WEST] 00000025 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found jakarta.faces.application.ApplicationFactory factory implementation: com.ibm.ws.jsf.config.WASApplicationFactoryImpl
[5/17/23, 23:06:04:988 WEST] 00000025 org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[5/17/23, 23:06:05:077 WEST] 00000025 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core CDI support enabled
[5/17/23, 23:06:05:104 WEST] 00000025 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core Bean Validation support disabled
[5/17/23, 23:06:05:272 WEST] 00000025 org.apache.myfaces.application.ApplicationImpl               I Couldn't discover the current project stage, using Production
[5/17/23, 23:06:05:288 WEST] 00000025 org.apache.myfaces.config.FacesConfigurator                  I Serialization provider : class org.apache.myfaces.shared_impl.util.serial.DefaultSerialFactory
[5/17/23, 23:06:05:620 WEST] 00000025 org.apache.myfaces.webapp.AbstractFacesInitializer           I ServletContext initialized.
[5/17/23, 23:06:05:624 WEST] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I Tomahawk jar not available. Autoscrolling, DetectJavascript, AddResourceClass and CheckExtensionsFilter are disabled now.
[5/17/23, 23:06:05:624 WEST] 00000025 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
